WMSize,ShortLong,DurLevel,TPresent,NT,NSub,curDur,repDur,WMRP,valid,stdRepDur
5,1,2,2,127,1,0.8,1.109891965,2,1,0.290358947
1,1,3,1,128,1,1.1,1.013902007,1,1,0.239658801
1,1,4,2,129,1,1.4,1.078011737,2,1,0.237605307
3,1,2,2,130,1,0.8,1.254014994,2,1,0.271512368
5,1,4,1,131,1,1.4,1.109980916,1,1,0.260420735
3,1,1,1,132,1,0.5,0.374008661,2,1,0.295422728
1,1,4,1,133,1,1.4,0.741941449,1,1,0.237605307
5,1,1,2,134,1,0.5,0.485971235,2,1,0.320143591
5,1,3,1,135,1,1.1,0.693956423,1,1,0.223289865
5,1,3,2,136,1,1.1,0.726026372,2,1,0.223289865
1,1,5,1,137,1,1.7,1.334039178,1,1,0.361783723
3,1,4,1,138,1,1.4,1.493954743,1,1,0.321464672
3,1,1,2,139,1,0.5,1.094060862,2,1,0.295422728
1,1,1,1,140,1,0.5,0.821980252,1,1,0.338838731
5,1,5,1,141,1,1.7,1.334051308,2,1,0.303182927
3,1,5,2,142,1,1.7,1.861973994,2,1,0.283030689
1,1,2,1,143,1,0.8,1.33399377,1,1,0.241125182
3,1,2,1,144,1,0.8,1.094025095,1,1,0.271512368
5,1,2,1,145,1,0.8,0.950018698,2,1,0.290358947
3,1,5,1,146,1,1.7,1.621908593,1,1,0.283030689
5,1,1,1,147,1,0.5,0.422059312,1,1,0.320143591
5,1,4,2,148,1,1.4,1.574099914,2,1,0.260420735
3,1,4,2,149,1,1.4,1.925993839,2,1,0.321464672
1,1,1,2,150,1,0.5,0.325969207,2,1,0.338838731
1,1,2,2,151,1,0.8,0.901913619,2,1,0.241125182
1,1,3,1,152,1,1.1,0.885969928,1,1,0.239658801
3,1,4,2,153,1,1.4,1.189997636,1,1,0.321464672
1,1,3,2,154,1,1.1,0.581997893,2,1,0.239658801
5,1,4,2,155,1,1.4,0.902034916,2,1,0.260420735
3,1,2,2,156,1,0.8,1.301901738,1,1,0.271512368
1,1,5,1,157,1,1.7,1.749974098,1,1,0.361783723
5,1,1,1,158,1,0.5,0.630029883,1,1,0.320143591
3,1,5,1,159,1,1.7,1.382025449,1,1,0.283030689
3,1,5,2,160,1,1.7,1.093999281,1,1,0.283030689
5,1,2,2,161,1,0.8,0.774015441,2,1,0.290358947
5,1,2,1,162,1,0.8,1.045959204,1,1,0.290358947
1,1,1,2,163,1,0.5,0.725971633,2,1,0.338838731
3,1,3,1,164,1,1.1,1.301997221,1,1,0.274529984
5,1,4,1,165,1,1.4,0.981963929,2,1,0.260420735
3,1,2,1,166,1,0.8,1.013955813,1,1,0.271512368
1,1,4,2,167,1,1.4,1.014004954,2,1,0.237605307
1,1,4,1,168,1,1.4,1.19001412,1,1,0.237605307
5,1,1,2,169,1,0.5,0.437959461,1,1,0.320143591
3,1,3,2,170,1,1.1,0.613980135,2,1,0.274529984
5,1,5,2,171,1,1.7,1.317947132,2,1,0.303182927
3,1,1,2,172,1,0.5,0.37398689,2,1,0.295422728
5,1,5,1,173,1,1.7,1.349964519,1,1,0.303182927
3,1,1,1,174,1,0.5,0.37398067,1,1,0.295422728
1,1,5,2,175,1,1.7,1.062024192,2,1,0.361783723
5,1,3,1,176,1,1.1,1.030016136,1,1,0.223289865
1,1,2,1,177,1,0.8,0.661941213,1,1,0.241125182
3,1,4,1,178,1,1.4,0.949940633,1,1,0.321464672
5,1,3,2,179,1,1.1,0.838030311,2,1,0.223289865
