target,setsize,dyn,resp,rt,sub,exp,correct
Present,16,Static,1,1.55949886721373,2,1,1
Present,8,Static,1,0.771254327980387,2,1,1
Absent,8,Static,2,1.19477414706853,2,1,1
Absent,16,Static,2,2.23008924454098,2,1,1
Absent,8,Static,2,0.818320448302984,2,1,1
Absent,12,Static,2,1.84190233975551,2,1,1
Present,8,Static,1,0.912414717872707,2,1,1
Present,8,Static,1,0.841832457846067,2,1,1
Absent,12,Static,2,2.053657028624,2,1,1
Present,16,Static,1,0.677129949676782,2,1,1
Present,12,Static,1,1.25359626180398,2,1,1
Present,8,Static,1,1.12418955864723,2,1,1
Absent,16,Static,2,1.61832190187852,2,1,1
Present,12,Static,1,0.959479118631862,2,1,1
Present,8,Static,1,0.888871970046239,2,1,1
Absent,12,Static,2,1.11242156471599,2,1,1
Present,16,Static,1,1.01830700523351,2,1,1
Absent,8,Static,2,0.983029517613431,2,1,1
Absent,12,Static,2,1.1594802236832,2,1,1
Absent,16,Static,2,1.99477536239101,2,1,1
Absent,8,Static,2,1.2419105148665,2,1,1
Present,16,Static,1,1.30068363908504,2,1,1
Present,12,Static,1,0.912439328414621,2,1,1
